Main File Name,Sub Query / File Name,Data Purpose,Customer,Data / File Path,Sheet / Table Name,Refresh Frequency,Manual v Auto,Redundant (Y/N/Maybe),In Fabric (Y/N/Maybe),Notes,MCode Audit,MCode Notes
Atlas VMI_Open Upload File,VMI Customer List,Used as an XLOOKUP table for returning alternate Customer Name,,L:\VMI Operations\Atlas Upload Files\Copy of Atlas VMI Customer Set Up.xlsx,For PBI,,,Maybe -- Seems like Bailment? ,,,Done,"Not really sure what the purpose of the XLOOKUP in this table is, as it would only return something if there is a match... but then returns the same data, so it seems redundant. "
Atlas VMI_Open Upload File,AndrewsVMI_8522,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Files\Inventory Files\ANDREWSVMI_852.CSV,None,,,,,,Done,
Atlas VMI_Open Upload File,Choice,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\LA\Choice Brands (LA)\Other Files\Choice Inventory.xlsx,Inventory Status,,,,,,Done,
Atlas VMI_Open Upload File,Venture,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\LA\Choice Brands (LA)\Other Files\Venture Inventory.xlsx,Inventory Status,,,,,,Done,
Atlas VMI_Open Upload File,Inventory Bins,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Eagle Rock CO Replenishment Models\Eagle Rock Daily Reports\InventoryBins.xlsx,Inventory Status,,,,,,Done,
Atlas VMI_Open Upload File,GG 375,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\TX\GG_Giglio\GG_Giglio Files\GG 375 DOS.xlsx,Sheet0,,,,,,Done,
Atlas VMI_Open Upload File,Giglio 375,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\TX\GG_Giglio\GG_Giglio Files\Giglio 375 DOS.xlsx,Sheet0,,,,,,Done,
Atlas VMI_Open Upload File,Capital OK,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\OK\Capital OK Replenishment 2023\Sazerac Inventory.csv,None,,,,,,Done,Need to consider what things are being De-Duplicated. Need to discuss with Megan. 
Atlas VMI_Open Upload File,Superior OH,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Biggie\OH\Suprerior OH Files.xlsm,Append,,PowerQuery,,,,Done,Superior is spelled wrong. 
Atlas VMI_Open Upload File,CRD Suprise,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Encompass Files\Encompass Inventory.xlsx,Daily Inventory All,,,Maybe,,Same file path and sheet as Encompass Inventory,Done,Horribly buiilt and needs heavy consideration as for how we continue
Atlas VMI_Open Upload File,Oracle Buylist,,,SQL Server: y2tjz7qjmziezabg56725hmy54-sll2odfgmm6ene2p55ripmzeaq.datawarehouse.fabric.microsoft.com,None,,,,Yes,Queried from SQL -- could likely be joined with other SQL query,Done,Must understand the join logic. Are we at the right grain? is this the best way to approach it? 
Atlas VMI_Open Upload File -- SuperiorOH_Nest,Superior Inventory,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Biggie\OH\Superior Inventory.txt,None,,,,,,Done,
Atlas VMI_Open Upload File -- HDC_TX_Nest,852 Cases,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\TX\HDC\HDC Files\HDC_VMI_852.csv,None,,,,,Brandon created alternative look: C:\Users\cruth\OneDrive - Sazerac Company\Supply Chain - Analyst\VMI_BL template.xlsx,Done,
Atlas VMI_Open Upload File -- HDC_TX_Nest,852 Transformed,,,Sources within File,,,,,,,Done,
Atlas VMI_Open Upload File -- HDC_TX_Nest,852 Bottles,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\TX\HDC\HDC Files\HDC_VMI_852.csv,None,,,,,Brandon created alternative look: C:\Users\cruth\OneDrive - Sazerac Company\Supply Chain - Analyst\VMI_BL template.xlsx,Done,
Atlas VMI_Open Upload File -- HDC_TX_Nest,VMI_BL,,,Oracle BuyList Data -- Currently pulled as ODBC connection on Local Machine of System21. Alternative created by Brandon at link in notes. Need to recreate in SQL. ,None,,,,Probably,Brandon created alternative look: C:\Users\cruth\OneDrive - Sazerac Company\Supply Chain - Analyst\VMI_BL template.xlsx,Done,
Atlas VMI_Open Upload File -- WA_Inventory_Nest,All WA Inv,Master Append of other WA inventory queries,,Sources within File,None,,,,,,Done,
Atlas VMI_Open Upload File -- WA_Inventory_Nest,375 Park Inventory,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Columbia Dist. Replenishment Model\Sazerac Sales and Inventory - WA.xlsx,375 Park Inv,,,,,,Done,
Atlas VMI_Open Upload File -- WA_Inventory_Nest,WA Inventory,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Columbia Dist. Replenishment Model\Sazerac Sales and Inventory - WA.xlsx,WA Inventory,,,,,,Done,
